a	8167 	
 
b	1492 	
 
c	2782 	
 
d	4253 	
 
e	12702 	
 
f	2228 	
 
g	2015 	
 
h	6094 	
 
i	6966 	
 
j	153 	
 
k	772 	
 
l	4025 	
 
m	2406 	
 
n	6749 	
 
o	7507 	
 
p	1929 	
 
q	95 	
 
r	5987 	
 
s	6327 	
 
t	9056 	
 
u	2758 	
 
v	978 	
 
w	2360 	
 
x	150 	
 
y	1974 	
 
z	74 

A	8167 	
 
B	1492 	
 
C	2782 	
 
D	4253 	
 
E	12702 	
 
F	2228 	
 
G	2015 	
 
H	6094 	
 
I	6966 	
 
J	153 	
 
K	772 	
 
L	4025 	
 
M	2406 	
 
N	6749 	
 
O	7507 	
 
P	1929 	
 
Q	95 	
 
R	5987 	
 
S	6327 	
 
T	9056 	
 
U	2758 	
 
V	978 	
 
W	2360 	
 
X	150 	
 
Y	1974 	
 
Z	74 
